Image_Name,width,height,total_pixels,terrestrial_pixels_hard,terrestrial_pixels_soft,mean_pixel_confidence,n_background,soft_background,softvar_background,n_building,soft_building,softvar_building,n_earth,soft_earth,softvar_earth,n_grass,soft_grass,softvar_grass,n_animal,soft_animal,softvar_animal,n_mountain,soft_mountain,softvar_mountain,n_path_road,soft_path_road,softvar_path_road,n_person,soft_person,softvar_person,n_rock,soft_rock,softvar_rock,n_shrub_bush,soft_shrub_bush,softvar_shrub_bush,n_sky,soft_sky,softvar_sky,n_tree_conical,soft_tree_conical,softvar_tree_conical,n_tree_broadleaf,soft_tree_broadleaf,softvar_tree_broadleaf,n_wooded_mass,soft_wooded_mass,softvar_wooded_mass,n_Water,soft_Water,softvar_Water
1.jpg,654,800,523200,322419,322540.97202208976,0.8915789818545,103278,104488.86276655682,24333.24735612117,69871,68954.60291203513,2780.446810044356,0,123.89062341853787,123.72760992571055,0,72.3492189744702,72.30060776724565,0,45.929475655830174,45.92231537592646,4070,6092.636559246766,2592.3547793303633,0,31.06307227063553,31.058828388815478,0,41.539787924457414,41.534639029058695,30062,28591.377434061844,4962.6032605465125,61709,53286.22864747493,12873.35063165612,97503,96170.16318398499,7155.4350663262985,0,127.75485960173683,127.65680956886564,156707,164498.18107765462,19205.82578326917,0,343.76754152406284,339.90752814901543,0,331.6508122467785,278.810665369214
10.jpg,800,546,436800,165384,167974.68569977867,0.8803318658305994,113115,111236.87650441442,26870.470998542507,42594,41747.02610990639,9781.064199499344,336,1736.8864415246826,1409.894423478148,14194,13515.391397236475,3203.310845939949,4,168.0837915023767,159.75064908981096,0,88.4283742197631,87.92491179980485,0,259.40360021923334,251.96386921324765,2133,1936.680472062726,779.0770648625003,0,37.24644580889071,37.238315929666214,41571,39209.143470102514,8663.044848616206,158301,157588.44765967582,3593.838648372379,2217,2239.094292353235,1113.5959439185638,58834,62545.99586098708,13170.642104797895,1815,2143.5008486677452,1135.3925823532632,1686,2347.804595187554,1168.3909139791463
100.jpg,800,694,555200,366391,363170.52149759245,0.9339615918211747,72929,77499.72691869317,22072.480248319098,1869,1789.7670737322005,517.8086483173394,54779,54237.57364431415,3638.5123492094904,23091,22274.312298542078,2972.4704428698337,37153,36281.05240225111,3944.252157479117,1778,1713.4835141224012,364.53096213386954,0,38.73233426785646,38.72442581531254,8526,8375.848860382479,917.6635788063493,0,32.10415877884407,32.101498082810025,0,31.222846069127627,31.219110880396713,115880,114529.74176090755,4401.067544207554,0,42.7830369109397,42.77862109057853,228662,228193.05167490235,9640.81741713666,10533,10132.718795250672,1769.673849880451,0,27.87085806831783,27.86787441261626
101.jpg,800,559,447200,249118,247685.2372559007,0.8864978886560965,103859,106188.9038928114,27522.19338574878,731,821.4741469088667,301.0659015089038,41767,40878.35575203161,6469.249432374303,0,99.56446095844512,99.47197875896633,1,32.40285414151549,32.194916612732584,7878,7637.1642150677235,1053.4627484563941,0,25.97900826491332,25.96412716194215,1701,1932.4440029127418,616.0053099699613,0,57.590720813908774,57.55746383799008,68452,62884.81932994385,11543.745139002074,94223,93325.85700288405,5128.042496014949,0,39.65125722929042,39.64565215987824,117630,122130.84791089504,13898.94291691434,2906,3106.7963477557096,1484.8937226427693,8052,8038.147248977046,1066.8696510038185
102.jpg,800,554,443200,215484,223964.33203401454,0.8561394150488563,129906,122182.63444141942,31474.55068780408,0,24.633814752705803,24.63198337206431,11177,17846.673423851935,10955.500110228164,0,1027.352134408471,1009.3563347730899,2886,3455.361138571292,1792.970830238149,18281,17915.700751323304,1965.516857300359,4520,4632.975482889564,1158.7433993750058,3124,3257.66049254869,1442.0079600560746,0,2446.0413848226463,2318.7113826591335,62231,53515.737120633654,14189.127725627039,97810,97053.03563386464,3330.6301416437327,0,69.27258487380823,69.24797138323997,109281,113693.7347977254,15893.813814325062,753,2449.091643416452,1482.627083283365,3231,3630.0972641965764,977.8592163050745
103.jpg,800,594,475200,249474,248075.6313180025,0.8450803786710607,131004,135593.02869809113,38308.15036928047,1761,1692.1937288221525,486.7668091601147,16923,18874.50988348189,7749.986413400202,0,690.9747190216567,679.5249188304374,26,270.46385496774747,211.1607959752497,9729,9626.087036865985,1179.8081280235128,12552,11961.201009439152,4255.60046415767,236,265.5354558911449,185.74455597616986,0,484.31293662598546,481.7866454040363,76723,78762.40866320266,23603.868951206132,94722,91531.33816730959,6522.872644747022,0,67.09505459992761,67.07956441395184,130132,123901.77079531355,18020.08841001252,1392,1363.3664864752718,560.3512048857389,0,115.7116932953868,115.64673749516726
104.jpg,800,614,491200,257281,255413.77337243294,0.9115669643307706,95022,97726.69753673425,25351.72367288212,21743,21320.96563883902,1562.1655097284395,5371,6110.231254201395,2310.3352746699666,16755,15986.110996683221,2825.3161313778733,5727,6044.930346997151,2008.3811819480782,3790,3613.1370419441623,1252.2221470625952,0,185.3763036567907,182.41098821613016,18501,18424.824487631027,3044.138709135652,0,90.16532010031551,89.91459842365745,39137,39180.40122287607,5922.72383235708,138897,138059.52697220704,4546.545780725288,0,44.31915535866392,44.31268134849056,134606,133728.92817008877,6885.424352741569,6540,5818.523228707254,1841.2018835114768,5111,4865.860205349127,1349.082146882696
105.jpg,800,557,445600,319757,318353.34784980613,0.9048195886900197,73814,75340.06451529522,19495.613657893256,19566,19053.460589838298,2205.942178624711,14903,15375.252743888945,2821.8223169996927,9464,9195.85498069268,1787.7665651502055,5767,5745.4902287904715,1570.1822562811938,0,52.428740779029795,52.36202942430406,0,51.26071588371087,51.09944487856764,210,599.3353676401639,421.9409680466121,176,247.6270353428299,190.79027255206893,28192,33829.477861931824,9630.448631366038,52029,51906.58830039417,2060.0761358231043,1015,1768.8669162380975,1111.922244250536,232085,224313.37113858966,14602.297796047185,0,109.96654548069455,109.87679297037869,8379,8010.954984709705,1403.1915395244375
106.jpg,800,587,469600,205938,205009.7463047658,0.8694708928430939,64929,67054.02837184048,27726.70300822603,19973,19871.524372939486,3025.432327333923,0,7183.746815659086,6396.799271851518,23232,20751.13169257905,5981.595451401509,5455,5535.51645618797,1944.0109041110122,12123,11144.7799949452,1813.2854884508283,0,137.38466872880326,137.1645677846205,10211,10170.52899983127,1918.6744455237936,23694,20888.204819809805,10644.821992934638,41466,39410.378810292474,7389.424630381155,198733,197536.2275204096,4320.004335742652,0,98.35692872245272,98.26916431111107,52916,52942.71374363644,7657.361779920177,10551,10752.211159032868,4438.453624345605,6317,6123.26784240085,1511.4834318502965
107.jpg,800,649,519200,365453,365264.285442676,0.8325112731146622,88751,89353.2405892781,31574.776091355718,13789,8681.324116478338,3761.608614087092,60441,51016.31894867773,24953.174305889006,195,6384.358839108383,5252.800575224688,0,253.287542243399,252.88670490899867,5575,5375.215849516333,1151.1909702231621,0,422.19035610152787,420.64053378095997,6736,6511.701001946543,1312.7542896295054,54904,64562.30771065772,26184.440302170682,19460,17723.335213218852,4087.568111248977,64996,64582.47409066549,3593.487088951482,0,124.05453984021733,123.97777938687727,202631,201050.1229084863,10416.558602272284,1722,2983.846022279864,1838.307070082462,0,176.2223941208249,176.03099184817228
