model,n_parameters,max_rhat,min_ess_bulk,min_ess_tail
M1,64,1.0065839701230335,927.3754644273472,725.2639055082437
M2,74,1.0060483620828897,1281.151110773196,2001.0104428180093
M3,60,1.0048882904736431,1017.7038997909087,578.6307580784451
M4,100,1.0039020629504172,1046.8990697013326,937.1314271044971
M5,69,1.0030520280211273,851.1566058368303,1168.1491869462266
