predictor,b1,b2,b3,b4
year,0.07382304600501458,4.2750293022993867e-4,8.243408544494709e-4,5.994412450309244e-4
school,0.14835551070947214,0.03890926503351107,0.08840661494915038,0.011745673990022246
painter,0.5960060449279942,0.6035895333520271,0.5559910875209099,0.49439871011287895
scene_type,0.14237663841302578,0.323340396253806,0.058200670349197445,0.23973964370658296
