Image_Name,median_date,latitude,longitude,painter,school,dutch_core,habitat
4.jpg,1646,51.213886,4.401514,David Teniers the Younger,Baroque,FALSE,open countryside
40.jpg,1875,48.596401,2.495148,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,open countryside
41.jpg,1844,43.9696247669014,-0.836015240918723,Théodore Rousseau,Realism & Barbizon,FALSE,open countryside
42.jpg,1868.5,43.5274806294155,3.93013716794524,Gustave Courbet,Realism & Barbizon,FALSE,coastal landscape
43.jpg,1871,48.443464,2.60313,Narcisse-Virgilio Diaz de la Peña,Realism & Barbizon,FALSE,open countryside
44.jpg,1838,48.432388,2.636323,Théodore Rousseau,Realism & Barbizon,FALSE,mountain/rocky landscape
45.jpg,1893,49.3234748200565,0.0700494029275871,Eugène Boudin,Impressionism,FALSE,coastal landscape
46.jpg,1871,50.1987735705631,2.24312015802766,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,open countryside
47.jpg,1873,48.91421,2.476042,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,river/lakeside landscape
48.jpg,1871,50.2667118177883,3.09972483187719,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,river/lakeside landscape
49.jpg,1872,49.071579,2.169782,Charles-François Daubigny,Realism & Barbizon,FALSE,river/lakeside landscape
5.jpg,1638,51.213886,4.401514,Peter Paul Rubens,Baroque,FALSE,open countryside
50.jpg,1859,49.071579,2.169782,Charles-François Daubigny,Realism & Barbizon,FALSE,river/lakeside landscape
51.jpg,1836,43.9723554158885,4.78474849349258,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,urban/architectural landscape
52.jpg,1875,48.411238,2.564517,François Millet,Realism & Barbizon,FALSE,urban/architectural landscape
53.jpg,1864,49.5102985892554,0.0667575996603086,Claude Monet,Impressionism,FALSE,coastal landscape
54.jpg,1889,45.9041867243282,6.12918567171025,Pierre-Auguste Renoir,Impressionism,FALSE,river/lakeside landscape
55.jpg,1894,47.9893823998133,3.61538039517169,Henri-Joseph Harpignies,Realism & Barbizon,FALSE,open countryside
56.jpg,1867,48.8635056873786,2.32748356718649,Adolph Menzel,Realism & Barbizon,FALSE,urban/architectural landscape
57.jpg,1872,48.947885,2.24744,Claude Monet,Impressionism,FALSE,river/lakeside landscape
58.jpg,1760,46.7685,2.4326,Gabriel-Jacques de Saint-Aubin,Unspecified / Other,FALSE,urban/architectural landscape
59.jpg,1755,48.889803,2.158627,François Boucher,Rococo & Arcadian,FALSE,urban/architectural landscape
6.jpg,1840,50.833333,4.333333,Jean-Michel Cels,Romanticism,FALSE,woodland landscape
60.jpg,1834.5,46.7685,2.4326,Georges Michel,Dutch & Northern,TRUE,open countryside
