variable,mean,sd,2.5%,97.5%,rhat,ess_bulk,ess_tail,model
b_b1_Intercept,-0.4175471032515124,0.44552750947547576,-1.2893441054181105,0.45130452670879884,1.0006210753836844,5236.946329162071,5379.715348306147,M1
b_b2_Intercept,0.2481554318760001,0.5430049405100799,-0.8376562667683921,1.3057069242004293,1.0013631739058926,5773.798082612472,5496.240741649521,M1
b_b3_Intercept,1.1084722392790967,0.43605258700307786,0.25295719880820666,1.9632456017879443,1.000922892301451,5261.810810973012,5794.070508766893,M1
b_b4_Intercept,2.675675612809409,0.4879841622681268,1.7278391067920869,3.6445213766854336,0.9997130547847847,6204.044989594937,6051.315741308814,M1
b_b1_date_sc,0.7822654666886937,0.2483862389603789,0.3000253195909567,1.2608279426530045,0.9999337786687663,6830.089074327969,6115.314480357426,M1
b_b1_lat_sc,-0.18978476329299734,0.24396011235753498,-0.6584068456821471,0.29897418310771107,0.9999681251235476,6254.316199670168,6095.908934124495,M1
b_b1_lon_sc,-0.07539322448228601,0.25207541317350074,-0.5768699838281338,0.4160697093700436,0.9999223621456979,6693.521371950668,6900.081574957515,M1
b_b1_habitatmixedDunclearlandscape,-0.3731783828327046,0.9139706420240856,-2.1623131917264446,1.4148034488937746,1.000018142005648,12090.703798936089,6127.130661840717,M1
b_b1_habitatmountainDrockylandscape,1.4701350597287928,0.619877844464684,0.22683497712828962,2.6495422945887293,1.0008759640634421,7169.490412574011,6518.317146948656,M1
b_b1_habitatopencountryside,0.7359862695884513,0.5264884918830265,-0.28499687544934815,1.7839070830774177,1.0011887425296857,6231.853364057474,5975.949655005175,M1
b_b1_habitatriverDlakesidelandscape,0.4905001342946536,0.4983474531385006,-0.47867433156744954,1.4499279996179106,1.0005270005469216,6770.342223781907,6532.6600040054955,M1
b_b1_habitaturbanDarchitecturallandscape,-1.504970788010868,0.5729308344343068,-2.622838774798251,-0.3819537872893419,1.0005815523982922,7143.117986086814,6716.867702770008,M1
b_b1_habitatwoodlandlandscape,1.300340938364703,0.6017851694516934,0.1322065720644964,2.4921233595121906,1.0010581577717874,6734.330806557544,5982.1961644354915,M1
