label,balance,n,est,lo,hi,n_nonzero,est_nz,lo_nz,hi_nz,spearman,survives,note
within mountain/rocky landscape (n=26),b1,26,1.0018519129891337,-0.32546721207421503,2.3291710380524826,14,NA,NA,NA,0.28498081054843577,FALSE,ok/n<min
within mountain/rocky landscape (n=26),b2,26,-1.3922957261934545,-2.8393286041376733,0.05473715175076399,15,NA,NA,NA,-0.34526521277983563,FALSE,ok/n<min
within mountain/rocky landscape (n=26),b3,26,-0.8849834452115654,-1.669276672423495,-0.10069021799963562,24,-0.2963765042501011,-0.7720089813059396,0.17925597280573746,-0.3750648888828571,FALSE,ok/ok
within mountain/rocky landscape (n=26),b4,26,-0.7402790599055246,-2.497039912697042,1.016481792885993,17,NA,NA,NA,-0.130844554843152,FALSE,ok/n<min
within open countryside (n=59),b1,59,1.1310658508743339,0.2689620499878298,1.993169651760838,21,0.32933488901340185,-0.46391919427073575,1.1225889722975395,0.28431960890992886,FALSE,ok/ok
within open countryside (n=59),b2,59,0.40456022715609524,-0.6170590349966336,1.4261794893088242,24,0.22206046156172599,-0.6586985952775234,1.1028195184009753,0.10823846116926768,FALSE,ok/ok
within open countryside (n=59),b3,59,-0.37638058260554386,-0.9197180962808701,0.16695693106978238,54,-0.26506973288804764,-0.56209377936844,0.03195431359234463,-0.24629145930657562,FALSE,ok/ok
within open countryside (n=59),b4,59,0.2310989764075208,-0.6377145528869295,1.099912505701971,25,-0.04874646385688059,-1.0182755767435716,0.9207826490298103,-0.08099337887543703,FALSE,ok/ok
within river/lakeside landscape (n=73),b1,73,0.9111092128607676,0.19094304920881577,1.6312753765127195,36,-0.07862182377770446,-0.6983258675954553,0.5410822200400465,0.2863512610347561,FALSE,ok/ok
within river/lakeside landscape (n=73),b2,73,0.8361606240168888,-0.45537659835432653,2.127697846388104,38,-0.4691799871817315,-1.1923763747302285,0.25401640036676554,0.2040252734872637,FALSE,ok/ok
within river/lakeside landscape (n=73),b3,73,-0.0800174749429252,-0.9034810217170559,0.7434460718312055,51,-0.2031981196986689,-0.6071252367647406,0.20072899736740285,-0.05883669305802754,FALSE,ok/ok
within river/lakeside landscape (n=73),b4,73,0.49182231202160265,-0.7623545692132944,1.7459991932564995,55,-0.0046128412337761325,-0.3173190580191155,0.3080933755515632,0.11250395449706041,FALSE,ok/ok
within urban/architectural landscape (n=35),b1,35,0.1274235279806497,-0.5410066014967642,0.7958536574580636,13,NA,NA,NA,0.15172317771244023,FALSE,ok/n<min
within urban/architectural landscape (n=35),b2,35,0.05346704944056106,-1.5469522731724483,1.6538863720535706,13,NA,NA,NA,0.028719530407248613,FALSE,ok/n<min
within urban/architectural landscape (n=35),b3,35,0.38324942042804316,-0.9003298912678503,1.6668287321239368,27,-0.19553162547196226,-0.5688057413411118,0.17774249039718729,-0.014569908109043198,FALSE,ok/ok
within urban/architectural landscape (n=35),b4,35,0.28484844975336615,-1.322223629218864,1.8919205287255962,19,NA,NA,NA,0.0036424770272607994,FALSE,ok/n<min
within woodland landscape (n=29),b1,29,1.6679707663497836,0.3405278186266232,2.995413714072944,8,NA,NA,NA,0.26198403001220794,FALSE,ok/n<min
within woodland landscape (n=29),b2,29,-0.09251824521980456,-1.2799564919380326,1.0949200014984235,8,NA,NA,NA,-0.10227974831144523,FALSE,ok/n<min
within woodland landscape (n=29),b3,29,1.1740873794872553,0.044444819709125616,2.303729939265385,26,0.14129758360870645,-0.13551716854204462,0.4181123357594575,0.18730749088361057,FALSE,ok/ok
within woodland landscape (n=29),b4,29,-0.778397873034725,-2.427860468727425,0.8710647226579746,8,NA,NA,NA,-0.040911899324578095,FALSE,ok/n<min
